Country,Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Human Development Index (2021)
Afghanistan,61.9824,10.26384398,2.98506999,1824.190915,0.478
Angola,61.6434,12.1721,5.417390823,5465.617791,0.586
Albania,76.4626,14.44799995,11.28645502,14131.11039,0.796
Andorra,80.3684,13.30023874,10.55511952,51166.62661,0.858
United Arab Emirates,78.7104,15.71769047,12.69402981,62573.59181,0.911
Argentina,75.3899,17.8748703,11.14726927,20925.26814,0.842
Armenia,72.0431,13.11676025,11.33030033,13157.9939,0.759
Antigua and Barbuda,78.4968,14.18462641,9.293740746,16792.36595,0.788
Australia,84.5265,21.05459023,12.72681999,49238.43335,0.951
Austria,81.5797,16.00795937,12.25669003,53618.67138,0.916
Azerbaijan,69.3658,13.49689007,10.5429697,14256.74456,0.745
Burundi,61.6627,10.72272189,3.129266883,731.7867086,0.426
Belgium,81.8787,19.60421944,12.37567997,52293.39977,0.937
Benin,59.821,10.76667976,4.304786445,3408.965923,0.525
Burkina Faso,59.2696,9.142100334,2.114962259,2117.915916,0.449
Bangladesh,72.3811,12.44198036,7.379059792,5472.104781,0.661
Bulgaria,71.798,13.89729023,11.41318035,23078.95595,0.795
Bahrain,78.7605,16.29755974,11.04658985,39497.24788,0.875
Bahamas,71.5983,12.89945,12.64192386,30486.18429,0.812
Bosnia and Herzegovina,75.3003,13.8,10.53631973,15241.91465,0.78
Belarus,72.438,15.16996956,12.14358044,18848.96704,0.808
Belize,70.4697,12.99168968,8.847599983,6309.099778,0.683
Bolivia,63.6304,14.94697094,9.827750206,8111.190194,0.692
Brazil,72.7504,15.59906006,8.128813955,14369.88848,0.754
Barbados,77.5714,15.71338458,9.852700596,12306.341,0.79
Brunei,74.6424,13.95178032,9.18,64489.53954,0.829
Bhutan,71.815,13.22500478,5.170262283,9437.541512,0.666
Botswana,61.1409,12.26513765,10.34,16198.31841,0.693
Central African Republic,53.8947,8.040171714,4.334,966.0586107,0.404
Canada,82.6565,16.39625931,13.83442722,46807.98619,0.936
Switzerland,83.9872,16.50029945,13.85966015,66933.00454,0.962
Chile,78.9435,16.73130035,10.9349663,24563.24486,0.855
China,78.2107,14.2361149,7.600118446,17504.39969,0.768
Ivory Coast,58.5983,10.67558002,5.199138977,5217.448516,0.55
Cameroon,60.3334,13.10859922,6.15131,3620.932408,0.576
The Democratic Republic of the Congo,59.193,9.817864451,7.018696516,1076.098781,0.479
Congo,63.5187,12.33081527,6.166,2889.283521,0.571
Colombia,72.8296,14.44274998,8.862859726,14384.35666,0.752
Comoros,63.4174,11.92432393,5.078649,3142.064119,0.558
Cabo Verde,74.0518,12.55461444,6.287719287,6230.200199,0.662
Costa Rica,77.0232,16.54577065,8.804059982,19974.27358,0.809
Cuba,73.6829,14.44305992,12.49773438,7878.847482,0.764
Cyprus,81.2033,15.64826965,12.44017029,38188.42152,0.896
Czechia,77.7283,16.21968079,12.86931038,38745.21386,0.889
Germany,80.6301,17.01013947,14.09096691,54534.21682,0.942
Djibouti,62.3049,7.43298,4.1,5024.993944,0.509
Dominica,72.814,13.3191862,8.142186,11487.62422,0.72
Denmark,81.3753,18.71479988,12.96049023,60364.78595,0.948
Dominican Republic,72.6146,14.46655802,9.306864107,17989.60037,0.767
Algeria,76.3767,14.62689602,8.069284397,10800.22546,0.745
Ecuador,73.67,14.62423038,8.817119598,10311.63273,0.74
Egypt,70.2207,13.78649972,9.573026174,11731.69056,0.731
Eritrea,66.5358,8.064524628,4.8872352,1728.742667,0.492
Spain,83.01,17.91690063,10.60540009,38353.60164,0.905
Estonia,77.1436,15.92895985,13.54843044,38048.26372,0.89
Ethiopia,64.9748,9.651071421,3.201520681,2361.069604,0.498
Finland,82.0381,19.05192947,12.87362003,49452.16672,0.94
Fiji,67.114,14.73679,10.92154799,9980.110866,0.73
France,82.4988,15.81206989,11.61005974,45937.05273,0.903
Micronesia,70.71,11.54947988,7.804956,3696.173945,0.628
Gabon,65.821,12.97731,9.436,13366.93455,0.706
United Kingdom,80.7422,17.30971909,13.4061203,45224.76564,0.929
Georgia,71.694,15.56851959,12.82221985,14664.16825,0.802
Ghana,63.7954,12.04778004,8.329886695,5744.504017,0.632
Guinea,58.8922,9.805297465,2.202125952,2480.887182,0.465
Gambia,62.083,9.418626299,4.637487411,2172.207664,0.5
Guinea-Bissau,59.6523,10.61306278,3.583719,1908.24159,0.483
Equatorial Guinea,60.5943,9.73494,5.910863,12073.95993,0.596
Greece,80.1106,20.02878952,11.40853024,29002.48545,0.887
Grenada,74.9362,18.66202035,9.032104,13483.5774,0.795
Guatemala,69.2368,10.56245041,5.681300163,8723.285317,0.627
Guyana,65.6734,12.50272216,8.617477,22464.65734,0.714
Hong Kong,85.4734,17.27816963,12.22620964,62606.8454,0.952
Honduras,70.1229,10.13281417,7.088479996,5297.955301,0.621
Croatia,77.5804,15.11209965,12.19108434,30132.28814,0.858
Haiti,63.1924,9.7,5.554,2847.500746,0.535
Hungary,74.5301,15.0336281,12.24958992,32789.01063,0.846
Indonesia,67.5703,13.74889386,8.556509972,11466.06836,0.705
India,67.2398,11.87462044,6.655109195,6589.980037,0.633
